"Country","year","Region","Debt_as_pct_of_GDP"
"Angola","X1996","Africa",147.943
"Angola","X1997","Africa",118.143
"Angola","X1998","Africa",154.949
"Angola","X1999","Africa",165.252
"Angola","X2000","Africa",89.903
"Angola","X2001","Africa",80.1735
"Angola","X2002","Africa",72.972
"Angola","X2003","Africa",59.7706
"Angola","X2004","Africa",51.9537355917515
"Angola","X2005","Africa",35.7366342955068
"Angola","X2006","Africa",18.6965618556975
"Angola","X2007","Africa",16.0655643646405
"Angola","X2008","Africa",16.64651492299
"Angola","X2009","Africa",22.7096667826384
"Angola","X2010","Africa",44.2905074773269
"Angola","X2011","Africa",33.8008682866954
"Angola","X2012","Africa",29.4866609972182
"Angola","X2013","Africa",32.8741264896889
"Angola","X2014","Africa",40.6608971975564
"Angola","X2015","Africa",64.2387405069085
"Angola","X2016","Africa",57.4
"Armenia","X1996","Europe",30.332
"Armenia","X1997","Europe",32.756
"Armenia","X1998","Europe",33.5592
"Armenia","X1999","Europe",38.4095
"Armenia","X2000","Europe",37.9542
"Armenia","X2001","Europe",36.2702
"Armenia","X2002","Europe",36.6753
"Armenia","X2003","Europe",33.1351
"Armenia","X2004","Europe",28.9247
"Armenia","X2005","Europe",20.8491
"Armenia","X2006","Europe",18.0946
"Armenia","X2007","Europe",14.2494993548176
"Armenia","X2008","Europe",14.6309642779242
"Armenia","X2009","Europe",34.1357880994289
"Armenia","X2010","Europe",33.7411560020151
"Armenia","X2011","Europe",35.6911279079664
"Armenia","X2012","Europe",36.4768505038057
"Armenia","X2013","Europe",37.9586563652166
"Armenia","X2014","Europe",41.4472319048233
"Armenia","X2015","Europe",46.8930484844894
"Armenia","X2016","Europe",53.4
"Australia","X1996","Oceania",29.1138962663799
"Australia","X1997","Oceania",25.7871581368043
"Australia","X1998","Oceania",23.7044780946975
"Australia","X1999","Oceania",22.5248307315714
"Australia","X2000","Oceania",19.4584678198019
"Australia","X2001","Oceania",17.0407898863993
"Australia","X2002","Oceania",14.9539172267313
"Australia","X2003","Oceania",13.150985945291
"Australia","X2004","Oceania",11.8900167030708
"Australia","X2005","Oceania",10.8932133184477
"Australia","X2006","Oceania",9.96690172357924
"Australia","X2007","Oceania",9.68267595882895
"Australia","X2008","Oceania",11.7436487831102
"Australia","X2009","Oceania",16.7465993226432
"Australia","X2010","Oceania",20.4812912962656
"Australia","X2011","Oceania",24.2005104541504
"Australia","X2012","Oceania",27.7982376601335
"Australia","X2013","Oceania",30.8291105169833
"Australia","X2014","Oceania",34.3228304726287
"Australia","X2015","Oceania",37.63774914205
"Australia","X2016","Oceania",46.1
"Azerbaijan","X1996","Europe",11.0874
"Azerbaijan","X1997","Europe",8.60289
"Azerbaijan","X1998","Europe",19.0201
"Azerbaijan","X1999","Europe",25.482
"Azerbaijan","X2000","Europe",25.8308
